Open,Close,High,Low,Volume,Date
2066.85,2077.69,2084.39,2061.6,,12/27/23
2053.3,2056.02,2065,2053.3,,12/26/23
2053.3,2053.3,2053.3,2053.3,,12/25/23
2053.3,2053.3,2053.3,2053.3,,12/24/23
2053.3,2053.3,2053.3,2053.3,,12/23/23
2049.3,2053.3,2070.4,2046.91,,12/22/23
2032.45,2045.94,2045.99,2031.67,,12/21/23
2039.91,2031.94,2043.4,2027.7,,12/20/23
2027.73,2040.31,2046.86,2021.85,,12/19/23
2020.11,2027.15,2033.48,2016.22,,12/18/23
2018.4,2018.4,2018.4,2018.4,,12/17/23
2018.4,2018.4,2018.4,2018.4,,12/16/23
2036.64,2018.4,2044.9,2015.87,,12/15/23
2026.02,2036.11,2047.82,2025.34,,12/14/23
1980.05,2027.58,2027.69,1973.16,,12/13/23
1982.19,1979.57,1996.3,1977.35,,12/12/23
2006.58,1981.74,2008.65,1976.03,,12/11/23
2003.6,2003.72,2003.72,2003.6,,12/10/23
2003.6,2003.6,2003.6,2003.6,,12/09/23
2028.83,2003.6,2034.06,1994.9,,12/08/23
2026.09,2028.48,2039.61,2020.3,,12/07/23
2019.49,2025.54,2035.8,2017.5,,12/06/23
2029.37,2019.29,2041.1,2010.5,,12/05/23
2074.12,2029.28,2111.4,2020.94,,12/04/23
2071.25,2071.29,2071.29,2071.25,,12/03/23
2071.25,2071.25,2071.25,2071.25,,12/02/23
2038.31,2071.25,2074.75,2034.05,,12/01/23
2044.75,2036.46,2046.97,2032.1,,11/30/23
2041.29,2044.36,2051.61,2035.7,,11/29/23
2013.4,2041.51,2042.9,2011.79,,11/28/23
